index,county1,county2,higher_gamma_mean_county,approx_diff_prob,delta,reduction_factor,RDET_percent
2083,21059,18173,21059,0.9237,0.05,0.97,3.0000000000000027
2087,21065,21197,21197,0.9689,0.05,0.9450000000000001,5.499999999999994
2088,21065,21049,21065,0.9548,0.05,0.955,4.5000000000000036
2089,21065,21129,21129,0.9047,0.05,0.995,0.5000000000000004
2106,21095,51195,21095,0.9835,0.05,0.92,7.9999999999999964
2107,21095,51105,21095,0.9459,0.05,0.965,3.500000000000003
2110,21109,21189,21189,0.9986,0.05,0.855,14.500000000000002
2111,21109,21129,21129,0.97,0.05,0.9400000000000001,5.999999999999995
2113,21119,21193,21193,0.9812,0.05,0.92,7.9999999999999964
2126,21139,17069,17069,0.9168,0.05,0.99,1.0000000000000009
2129,21153,21175,21153,0.9855,0.05,0.9,9.999999999999998
2131,21165,21197,21197,0.9993,0.05,0.8200000000000001,17.999999999999993
2140,21195,51027,21195,0.999,0.05,0.7649999999999999,23.50000000000001
2141,21195,51051,21195,0.9535,0.05,0.95,5.000000000000004
2143,21195,21071,21071,0.8958,0.05,0.995,0.5000000000000004
2159,21229,21167,21167,0.9096,0.05,0.995,0.5000000000000004
2161,21229,21155,21155,0.9353,0.05,0.965,3.500000000000003
2168,22035,28055,22035,0.9219,0.05,0.98,2.0000000000000018
2179,22043,22079,22043,0.9073,0.05,0.995,0.5000000000000004
2188,22059,22079,22059,0.9221,0.05,0.97,3.0000000000000027
2197,22073,22021,22021,0.9901,0.05,0.86,14.000000000000002
2243,24047,51001,51001,0.9656,0.05,0.925,7.499999999999996
2271,20033,40151,20033,0.9394,0.05,0.95,5.000000000000004
2277,20149,20131,20149,0.93,0.05,0.96,4.0000000000000036
2355,12017,12075,12075,0.9339,0.05,0.965,3.500000000000003
2385,12093,12055,12093,0.9256,0.05,0.97,3.0000000000000027
2386,12093,12043,12093,0.9539,0.05,0.935,6.499999999999995
2416,13049,12003,12003,0.9127,0.05,0.99,1.0000000000000009
2452,13153,13093,13153,0.9835,0.05,0.7949999999999999,20.500000000000007
2453,13153,13225,13225,0.9148,0.05,0.985,1.5000000000000013
2505,13245,45037,13245,0.955,0.05,0.915,8.499999999999996
2514,13261,13093,13261,0.9282,0.05,0.955,4.5000000000000036
2525,13315,13017,13017,0.9444,0.05,0.955,4.5000000000000036
2527,13315,13093,13315,0.9174,0.05,0.97,3.0000000000000027
2594,17165,17151,17165,0.9434,0.05,0.955,4.5000000000000036
2602,18001,18075,18075,0.9006,0.05,0.985,1.5000000000000013
2613,18051,17193,17193,0.9012,0.05,0.995,0.5000000000000004
2650,36119,36005,36119,0.9232,0.05,0.96,4.0000000000000036
2669,37039,47139,47139,0.9646,0.05,0.9400000000000001,5.999999999999995
2725,37155,45069,45069,0.9944,0.05,0.85,15.000000000000002
2734,37165,45069,45069,0.9271,0.05,0.975,2.500000000000002
2745,38005,38095,38095,0.9093,0.05,0.995,0.5000000000000004
2748,38005,38063,38063,0.9552,0.05,0.9,9.999999999999998
2892,28007,28089,28089,1.0,0.05,0.5599999999999999,44.00000000000001
2905,28049,28089,28089,1.0,0.05,0.43,57.00000000000001
2917,28089,28163,28089,1.0,0.05,0.565,43.50000000000001
2918,28089,28079,28089,0.9995,0.05,0.7499999999999999,25.00000000000001
2919,28089,28123,28089,1.0,0.05,0.64,36.0
2929,28145,28081,28081,0.9989,0.05,0.7949999999999999,20.500000000000007
2940,29061,29063,29061,0.8977,0.05,0.995,0.5000000000000004
2950,29149,29035,29035,0.9877,0.05,0.88,12.0
3057,34003,36005,34003,0.9232,0.05,0.96,4.0000000000000036
3073,35031,35043,35043,0.9674,0.05,0.7649999999999999,23.50000000000001
3140,48301,35015,48301,0.97,0.05,0.895,10.499999999999998
3141,48301,48389,48301,0.9295,0.05,0.97,3.0000000000000027
3170,51027,54059,54059,0.9828,0.05,0.895,10.499999999999998
3209,51091,54071,51091,0.9509,0.05,0.915,8.499999999999996
3236,51195,51720,51195,0.9445,0.05,0.9450000000000001,5.499999999999994
3285,54075,54071,54075,0.9835,0.05,0.8350000000000001,16.499999999999993
3292,54099,21127,21127,0.9571,0.05,0.9450000000000001,5.499999999999994
3293,54099,21159,21159,0.9982,0.05,0.8200000000000001,17.999999999999993
3295,54099,54059,54059,0.9331,0.05,0.96,4.0000000000000036
3348,48455,48005,48455,0.9046,0.05,0.995,0.5000000000000004
3354,48457,48373,48373,0.9239,0.05,0.97,3.0000000000000027
3365,49037,49019,49019,0.9921,0.05,0.7599999999999999,24.00000000000001
3369,49037,8085,8085,0.9037,0.05,0.99,1.0000000000000009
3388,39167,39121,39167,0.9994,0.05,0.635,36.5
3525,45025,45069,45069,0.9873,0.05,0.89,10.999999999999998
3533,45053,13103,13103,0.9855,0.05,0.8400000000000001,15.999999999999993
3566,46055,46137,46055,0.9954,0.05,0.6950000000000001,30.499999999999993
3581,46137,46093,46093,0.9804,0.05,0.8300000000000001,16.999999999999993
3582,46137,46041,46041,0.9608,0.05,0.925,7.499999999999996
3587,47003,47127,47003,0.9539,0.05,0.92,7.9999999999999964
3650,47143,47007,47143,0.9101,0.05,0.99,1.0000000000000009
3664,47163,51520,51520,0.9139,0.05,0.985,1.5000000000000013
3671,47189,47169,47169,0.9496,0.05,0.95,5.000000000000004
3689,48053,48281,48281,0.9691,0.05,0.915,8.499999999999996
3714,19007,19135,19135,0.9074,0.05,0.98,2.0000000000000018
3747,21063,21127,21127,0.9286,0.05,0.97,3.0000000000000027
3812,1009,1127,1127,0.9367,0.05,0.965,3.500000000000003
3817,1071,47051,1071,0.9369,0.05,0.96,4.0000000000000036
3825,1109,1011,1109,0.8996,0.05,0.99,1.0000000000000009
3841,5001,5079,5001,0.9775,0.05,0.875,12.5
3936,12107,12035,12107,0.9338,0.05,0.96,4.0000000000000036
